order_date,product,quantity,amount
2019-01-06,p1178011,1,8800
2019-01-06,p1089531,1,2600
2019-01-06,p1012761,1,1700
2019-01-06,p1231011,1,909
2019-01-06,p1119071,1,1091
2019-01-06,p1012811,1,2500
2019-01-06,p1012581,2,2000
2019-01-06,p1005891,3,5850
2019-01-06,p1012811,1,2500
2019-01-06,p1162631,1,4600
2019-01-06,p1072601,1,4600
2019-01-06,p1030071,1,3950
2019-01-06,p1006411,3,3273
2019-01-06,p1036481,10,10500
2019-01-06,p1012951,1,3000
2019-01-06,p1036481,1,1050
2019-01-06,p1100371,6,2400
2019-01-06,p1175481,1,1300
2019-01-06,p1005771,1,1850
2019-01-06,p1001771,1,3150
2019-01-06,p1005771,1,1850
2019-01-06,p1072601,1,4600
2019-01-06,p1175481,1,1300
2019-01-06,p1194801,1,8200
2019-01-06,p1097831,1,1455
2019-01-06,p1005621,1,2900
2019-01-06,p1133371,3,3000
2019-01-06,p1013161,1,2900
2019-01-06,p1072601,1,4600
2019-01-06,p1139681,1,909
2019-01-06,p1139701,1,1045
2019-01-06,p1175481,1,1300
2019-01-06,p1012811,2,5000
2019-01-06,p1175481,1,1300
2019-01-06,p1012761,1,1700
2019-01-06,p1139681,3,2727
2019-01-06,p1149401,1,909
2019-01-06,p1152861,1,1091
2019-01-06,p1133371,2,2000
2019-01-06,p1097591,1,600
2019-01-06,p1005771,1,1850
2019-01-06,p1072601,1,4600
2019-01-06,p1194801,1,8200
2019-01-06,p1201601,1,2700
2019-01-06,p1012751,1,1350
2019-01-06,p1089531,1,2600
2019-01-06,p1178011,1,8800
2019-01-06,p1097591,1,600
2019-01-06,p1012811,1,2500
2019-01-06,p1012951,1,3000
2019-01-06,p1001771,1,3150
2019-01-06,p1005771,1,1850
2019-01-06,p1005891,1,1950
2019-01-06,p1012751,1,1350
2019-01-06,p1005891,2,3900
2019-01-06,p1005771,1,1850
2019-01-06,p1097821,1,1000
2019-01-06,p1012811,1,2500
2019-01-06,p1201601,1,2700
2019-01-06,p1012811,1,2500
2019-01-06,p1005891,1,1950
2019-01-06,p1072601,1,4600
2019-01-06,p1013161,1,2900
2019-01-06,p1246581,1,1136
2019-01-06,p1127201,1,3727
2019-01-06,p1005771,3,5550
2019-01-06,p1005891,2,3900
2019-01-06,p1256521,1,1850
2019-01-06,p1178011,2,17600
2019-01-06,p1012751,1,1350
2019-01-06,p1012751,1,1350
2019-01-06,p1005771,1,1850
2019-01-06,p1149411,1,1000
2019-01-06,p1012811,1,2500
2019-01-06,p1001771,1,3150
2019-01-06,p1231011,1,909
2019-01-06,p1194801,1,8200
2019-01-06,p1194801,1,8200
2019-01-06,p1178011,1,8800
2019-01-06,p1012761,1,1700
2019-01-06,p1012751,1,1350
2019-01-06,p1133371,1,1000
2019-01-06,p1012751,1,1350
2019-01-06,p1178011,1,8800
2019-01-06,p1012951,1,3000
2019-01-07,p1006281,1,864
2019-01-07,p1175481,1,1300
2019-01-07,p1175481,1,1300
2019-01-07,p1194801,1,8200
2019-01-07,p1089531,2,5200
2019-01-07,p1144371,1,3100
2019-01-07,p1005891,1,1950
2019-01-07,p1005891,1,1950
2019-01-07,p1012581,1,1000
2019-01-07,p1013161,1,2900
2019-01-07,p1175481,1,1300
2019-01-07,p1006411,1,1091
2019-01-07,p1089531,1,2600
2019-01-07,p1246581,1,1136
2019-01-07,p1201601,1,2700
2019-01-07,p1072601,2,9200
2019-01-07,p1133371,1,1000
2019-01-07,p1207281,1,2600
2019-01-07,p1178011,1,8800
2019-01-07,p1246581,1,1136
2019-01-07,p1194801,2,16400
2019-01-07,p1127201,1,3727
2019-01-07,p1175481,1,1300
2019-01-07,p1005891,1,1950
2019-01-07,p1012751,1,1350
2019-01-07,p1012951,1,3000
2019-01-07,p1127201,1,3727
2019-01-07,p1133371,1,1000
2019-01-07,p1100371,4,1600
2019-01-07,p1246581,1,1136
2019-01-07,p1175481,1,1300
2019-01-07,p1194801,1,8200
2019-01-07,p1072601,1,4600
2019-01-07,p1100371,4,1600
2019-01-07,p1194801,1,8200
2019-01-07,p1005621,1,2900
2019-01-07,p1005771,1,1850
2019-01-07,p1072601,1,4600
2019-01-07,p1097591,1,600
2019-01-07,p1012751,1,1350
2019-01-07,p1119071,2,2182
2019-01-07,p1175481,1,1300
2019-01-07,p1013161,1,2900
2019-01-07,p1012751,1,1350
2019-01-07,p1144371,2,6200
2019-01-07,p1127201,1,3727
2019-01-07,p1175481,1,1300
2019-01-07,p1178011,1,8800
2019-01-07,p1006411,1,1091
2019-01-07,p1072601,1,4600
2019-01-07,p1005621,1,2900
2019-01-07,p1001771,1,3150
2019-01-07,p1178011,1,8800
2019-01-07,p1194801,1,8200
2019-01-07,p1175481,1,1300
2019-01-07,p1178011,1,8800
